ticker,name,isin,code,constraint_group
VCAA.XETRA,Vanguard EUR Cash UCITS ETF Acc,IE000SOORXS0,CASH_EUR,CASH_FALLBACK
IQQ6.XETRA,iShares Developed Markets Property Yield UCITS ETF,IE00B1FZS350,EQ_GLB_SEC.RE,REIT
XDW0.XETRA,Xtrackers MSCI World Energy,IE00BM67HM91,EQ_GLB_SEC.ENRG,ENERGY
XDWI.XETRA,Xtrackers MSCI World Industrials,IE00BM67HV82,EQ_GLB_SEC.IND,INDUSTRIALS
DFEN.XETRA,VanEck Defense,IE000YYE6WK5,EQ_GLB_THM.DEF,INDUSTRIALS
G2X.XETRA,VanEck Gold Miners,IE00BQQP9F84,EQ_GLB_SEC.PREC,GOLD_MINERS
WMOT.XETRA,VanEck US Wide Moat,IE0007I99HX7,EQ_USA_FAC.MOAT,US_BROAD
VGEK.XETRA,Vanguard FTSE Dev Asia Pacific ex Japan,IE00BK5BQZ41,EQ_APAC_REG,ASIA_EX_JP
VWCG.XETRA,Vanguard FTSE Developed Europe,IE00BK5BQX27,EQ_EUR_REG,EUROPE
VFEA.XETRA,Vanguard FTSE Emerging Markets,IE00BK5BR733,EQ_EM_REG,EMERGING_MARKETS
VJPA.XETRA,Vanguard FTSE Japan,IE00BFMXYX26,EQ_JPN_REG,JAPAN
VNRA.XETRA,Vanguard FTSE North America,IE00BK5BQW10,EQ_USA_REG,US_BROAD
WTIC.XETRA,WisdomTree Enhanced Commodity,IE00BYMLZY74,COM_GLB_REG,COMMODITIES
BNXG.XETRA,Invesco CoinShares Global Blockchain UCITS ETF Acc,IE00BGBN6P67,EQ_GLB_THM.BLKC,CRYPTO
MTH.PA,Amundi Euro Government Bond 25+Y Acc,LU1686832194,FI_EMU_GOV,BOND_LONG
XDWF.XETRA,Xtrackers MSCI World Financials,IE00BM67HL84,EQ_GLB_SEC.FIN,FINANCIALS
XDWH.XETRA,Xtrackers MSCI World Health Care,IE00BM67HK77,EQ_GLB_SEC.HLTH,HEALTHCARE
XDWT.XETRA,Xtrackers MSCI World Information Technology,IE00BM67HT60,EQ_GLB_SEC.TECH,TECH_AND_GROWTH
XDWU.XETRA,Xtrackers MSCI World Utilities,IE00BM67HQ30,EQ_GLB_SEC.UTIL,UTILITIES
XDWS.XETRA,Xtrackers MSCI World Consumer Staples,IE00BM67HN09,EQ_GLB_SEC.CONS,CONSUMER_STAPLES
XDWC.XETRA,Xtrackers MSCI World Consumer Discretionary,IE00BM67HP23,EQ_GLB_SEC.CONS,CONSUMER_DISCRETIONARY
XWTS.XETRA,Xtrackers MSCI World Communication Services,IE00BM67HR47,EQ_GLB_SEC.TELE,COMMUNICATION
XDWM.XETRA,Xtrackers MSCI World Materials,IE00BM67HS53,EQ_GLB_SEC.MAT,MATERIALS
SXRC.MU,iShares $ Treasury Bond 20+yr,IE00BFM6TC58,FI_USA_GOV,BOND_LONG
CBUX.XETRA,iShares Global Infrastructure,IE000CK5G8J7,EQ_GLB_THM.INFR,INFRASTRUCTURE
4GLD.XETRA,Xetra-Gold,DE000A0S9GB0,COM_GLB_SEC.PREC,GOLD_PHYSICAL
VGEM.XETRA,Vanguard USD Emerging Markets Government Bond,IE00BZ163L38,FI_EM_GOV,BOND_EM
